Test Sample, 26.6.2020, 9:15
Fixed value(s) :  AC Volt  [Vrms]=1.0000e-01
 Freq. [Hz]	 Temp. [°C]	 Eps'    	 Eps''   
1.00000e+07	-2.00000e+01	-6.37878e+01	1.31677e+01
7.14286e+06	-2.00000e+01	-9.70567e+01	2.74194e+01
5.10204e+06	-2.00000e+01	-1.64049e+02	6.27590e+01
3.64432e+06	-2.00000e+01	-2.76168e+02	1.34865e+02
2.60308e+06	-2.00000e+01	-4.50658e+02	2.97357e+02
1.85934e+06	-2.00000e+01	-6.83003e+02	6.22732e+02
1.32810e+06	-2.00000e+01	-9.52233e+02	1.19631e+03
9.48645e+05	-2.00000e+01	-1.21866e+03	2.05389e+03
6.77604e+05	-2.00000e+01	-1.43207e+03	3.32901e+03
4.84003e+05	-2.00000e+01	-1.56747e+03	5.12995e+03
3.45716e+05	-2.00000e+01	-1.49089e+03	7.64853e+03
2.46940e+05	-2.00000e+01	-1.05838e+03	1.10843e+04
1.76386e+05	-2.00000e+01	-3.53239e+01	1.57336e+04
1.25990e+05	-2.00000e+01	2.01825e+03	2.17715e+04
8.99928e+04	-2.00000e+01	5.81285e+03	2.98566e+04
6.42805e+04	-2.00000e+01	1.25261e+04	3.91714e+04
4.59147e+04	-2.00000e+01	2.35010e+04	4.90116e+04
3.27962e+04	-2.00000e+01	3.88852e+04	5.67368e+04
2.34258e+04	-2.00000e+01	5.71132e+04	5.99689e+04
1.67328e+04	-2.00000e+01	7.47246e+04	5.83713e+04
1.19520e+04	-2.00000e+01	8.97044e+04	5.35813e+04
8.53712e+03	-2.00000e+01	1.01537e+05	4.77187e+04
6.09794e+03	-2.00000e+01	1.10718e+05	4.21701e+04
4.35567e+03	-2.00000e+01	1.17954e+05	3.76277e+04
3.11119e+03	-2.00000e+01	1.23944e+05	3.43772e+04
2.22228e+03	-2.00000e+01	1.29253e+05	3.25205e+04
1.58734e+03	-2.00000e+01	1.34358e+05	3.19725e+04
1.13382e+03	-2.00000e+01	1.39477e+05	3.26489e+04
8.09869e+02	-2.00000e+01	1.45008e+05	3.44777e+04
5.78478e+02	-2.00000e+01	1.51172e+05	3.74177e+04
4.13199e+02	-2.00000e+01	1.58175e+05	4.14009e+04
2.95142e+02	-2.00000e+01	1.66385e+05	4.64110e+04
2.10816e+02	-2.00000e+01	1.75776e+05	5.22628e+04
1.50583e+02	-2.00000e+01	1.86649e+05	5.88707e+04
1.07559e+02	-2.00000e+01	1.99192e+05	6.61060e+04
7.68279e+01	-2.00000e+01	2.13455e+05	7.38159e+04
5.48770e+01	-2.00000e+01	2.29350e+05	8.19160e+04
3.91979e+01	-2.00000e+01	2.46674e+05	9.05432e+04
2.79985e+01	-2.00000e+01	2.65284e+05	9.98485e+04
1.99989e+01	-2.00000e+01	2.85494e+05	1.10589e+05
1.42850e+01	-2.00000e+01	3.08124e+05	1.23290e+05
1.02035e+01	-2.00000e+01	3.33096e+05	1.38208e+05
7.28824e+00	-2.00000e+01	3.60793e+05	1.55282e+05
5.20588e+00	-2.00000e+01	3.92370e+05	1.75159e+05
3.71849e+00	-2.00000e+01	4.27869e+05	1.98571e+05
2.65606e+00	-2.00000e+01	4.68343e+05	2.25560e+05
1.89719e+00	-2.00000e+01	5.15332e+05	2.56105e+05
1.35513e+00	-2.00000e+01	5.67890e+05	2.94311e+05
9.67953e-01	-2.00000e+01	6.28934e+05	3.37432e+05
6.91395e-01	-2.00000e+01	6.99596e+05	3.87756e+05
4.93854e-01	-2.00000e+01	7.81017e+05	4.46985e+05
3.52753e-01	-2.00000e+01	8.73267e+05	5.17327e+05
2.51966e-01	-2.00000e+01	9.80556e+05	6.02758e+05
1.79976e-01	-2.00000e+01	1.10112e+06	7.06051e+05
1.28554e-01	-2.00000e+01	1.23420e+06	8.31186e+05
1.00000e-01	-2.00000e+01	1.34957e+06	9.47864e+05
1.00000e+07	-1.50000e+01	-6.37469e+01	1.29219e+01
7.14286e+06	-1.50000e+01	-9.69506e+01	2.74099e+01
5.10204e+06	-1.50000e+01	-1.63841e+02	6.24424e+01
3.64432e+06	-1.50000e+01	-2.76033e+02	1.34202e+02
2.60308e+06	-1.50000e+01	-4.50559e+02	2.96472e+02
1.85934e+06	-1.50000e+01	-6.82994e+02	6.21738e+02
1.32810e+06	-1.50000e+01	-9.52598e+02	1.19520e+03
9.48645e+05	-1.50000e+01	-1.21885e+03	2.05166e+03
6.77604e+05	-1.50000e+01	-1.43240e+03	3.32440e+03
4.84003e+05	-1.50000e+01	-1.56795e+03	5.12010e+03
3.45716e+05	-1.50000e+01	-1.49571e+03	7.62800e+03
2.46940e+05	-1.50000e+01	-1.07660e+03	1.10462e+04
1.76386e+05	-1.50000e+01	-8.62377e+01	1.56731e+04
1.25990e+05	-1.50000e+01	1.90218e+03	2.16906e+04
8.99928e+04	-1.50000e+01	5.57311e+03	2.97838e+04
6.42805e+04	-1.50000e+01	1.21032e+04	3.91981e+04
4.59147e+04	-1.50000e+01	2.28671e+04	4.93069e+04
3.27962e+04	-1.50000e+01	3.81545e+04	5.75345e+04
2.34258e+04	-1.50000e+01	5.65915e+04	6.14171e+04
1.67328e+04	-1.50000e+01	7.47660e+04	6.03613e+04
1.19520e+04	-1.50000e+01	9.04567e+04	5.58791e+04
8.53712e+03	-1.50000e+01	1.02964e+05	5.01047e+04
6.09794e+03	-1.50000e+01	1.12751e+05	4.45522e+04
4.35567e+03	-1.50000e+01	1.20511e+05	3.99691e+04
3.11119e+03	-1.50000e+01	1.26955e+05	3.67318e+04
2.22228e+03	-1.50000e+01	1.32713e+05	3.49368e+04
1.58734e+03	-1.50000e+01	1.38256e+05	3.45217e+04
1.13382e+03	-1.50000e+01	1.43833e+05	3.54064e+04
8.09869e+02	-1.50000e+01	1.49876e+05	3.75167e+04
5.78478e+02	-1.50000e+01	1.56630e+05	4.08375e+04
4.13199e+02	-1.50000e+01	1.64310e+05	4.52799e+04
2.95142e+02	-1.50000e+01	1.73319e+05	5.08189e+04
2.10816e+02	-1.50000e+01	1.83603e+05	5.73202e+04
1.50583e+02	-1.50000e+01	1.95507e+05	6.46473e+04
1.07559e+02	-1.50000e+01	2.09205e+05	7.27108e+04
7.68279e+01	-1.50000e+01	2.24767e+05	8.13804e+04
5.48770e+01	-1.50000e+01	2.42078e+05	9.06592e+04
3.91979e+01	-1.50000e+01	2.61060e+05	1.00670e+05
2.79985e+01	-1.50000e+01	2.81463e+05	1.11801e+05
1.99989e+01	-1.50000e+01	3.04088e+05	1.24706e+05
1.42850e+01	-1.50000e+01	3.29262e+05	1.39975e+05
1.02035e+01	-1.50000e+01	3.57517e+05	1.57917e+05
7.28824e+00	-1.50000e+01	3.89382e+05	1.78794e+05
5.20588e+00	-1.50000e+01	4.25490e+05	2.03084e+05
3.71849e+00	-1.50000e+01	4.66739e+05	2.31000e+05
2.65606e+00	-1.50000e+01	5.14222e+05	2.63913e+05
1.89719e+00	-1.50000e+01	5.68262e+05	3.02413e+05
1.35513e+00	-1.50000e+01	6.31123e+05	3.48867e+05
9.67953e-01	-1.50000e+01	7.02581e+05	4.02120e+05
6.91395e-01	-1.50000e+01	7.84683e+05	4.64495e+05
4.93854e-01	-1.50000e+01	8.81050e+05	5.41971e+05
3.52753e-01	-1.50000e+01	9.89977e+05	6.33559e+05
2.51966e-01	-1.50000e+01	1.11608e+06	7.46370e+05
1.79976e-01	-1.50000e+01	1.25958e+06	8.85985e+05
1.28554e-01	-1.50000e+01	1.41723e+06	1.05323e+06
1.00000e-01	-1.50000e+01	1.55131e+06	1.20491e+06
1.00000e+07	-1.00000e+01	-6.42954e+01	1.16018e+01
7.14286e+06	-1.00000e+01	-9.81737e+01	2.53649e+01
5.10204e+06	-1.00000e+01	-1.67250e+02	5.83600e+01
3.64432e+06	-1.00000e+01	-2.85157e+02	1.26240e+02
2.60308e+06	-1.00000e+01	-4.75563e+02	2.84110e+02
1.85934e+06	-1.00000e+01	-7.42553e+02	6.12371e+02
1.32810e+06	-1.00000e+01	-1.07221e+03	1.21434e+03
9.48645e+05	-1.00000e+01	-1.41400e+03	2.14385e+03
6.77604e+05	-1.00000e+01	-1.70676e+03	3.55736e+03
4.84003e+05	-1.00000e+01	-1.90968e+03	5.57610e+03
3.45716e+05	-1.00000e+01	-1.85685e+03	8.41253e+03
2.46940e+05	-1.00000e+01	-1.37004e+03	1.22723e+04
1.76386e+05	-1.00000e+01	-1.80342e+02	1.74753e+04
1.25990e+05	-1.00000e+01	2.21844e+03	2.41594e+04
8.99928e+04	-1.00000e+01	6.62745e+03	3.30637e+04
6.42805e+04	-1.00000e+01	1.43323e+04	4.31043e+04
4.59147e+04	-1.00000e+01	2.67175e+04	5.34072e+04
3.27962e+04	-1.00000e+01	4.36286e+04	6.10146e+04
2.34258e+04	-1.00000e+01	6.30447e+04	6.36084e+04
1.67328e+04	-1.00000e+01	8.12643e+04	6.12985e+04
1.19520e+04	-1.00000e+01	9.64529e+04	5.61080e+04
8.53712e+03	-1.00000e+01	1.08459e+05	5.01686e+04
6.09794e+03	-1.00000e+01	1.17901e+05	4.47667e+04
4.35567e+03	-1.00000e+01	1.25524e+05	4.05208e+04
3.11119e+03	-1.00000e+01	1.31994e+05	3.76952e+04
2.22228e+03	-1.00000e+01	1.37920e+05	3.63281e+04
1.58734e+03	-1.00000e+01	1.43747e+05	3.63712e+04
1.13382e+03	-1.00000e+01	1.49696e+05	3.77267e+04
8.09869e+02	-1.00000e+01	1.56214e+05	4.03766e+04
5.78478e+02	-1.00000e+01	1.63538e+05	4.42837e+04
4.13199e+02	-1.00000e+01	1.71911e+05	4.93964e+04
2.95142e+02	-1.00000e+01	1.81752e+05	5.57206e+04
2.10816e+02	-1.00000e+01	1.93039e+05	6.30709e+04
1.50583e+02	-1.00000e+01	2.06130e+05	7.13780e+04
1.07559e+02	-1.00000e+01	2.21205e+05	8.05231e+04
7.68279e+01	-1.00000e+01	2.38328e+05	9.03984e+04
5.48770e+01	-1.00000e+01	2.57498e+05	1.01058e+05
3.91979e+01	-1.00000e+01	2.78480e+05	1.12688e+05
2.79985e+01	-1.00000e+01	3.01218e+05	1.25755e+05
1.99989e+01	-1.00000e+01	3.26553e+05	1.41081e+05
1.42850e+01	-1.00000e+01	3.54714e+05	1.58964e+05
1.02035e+01	-1.00000e+01	3.87028e+05	1.80271e+05
7.28824e+00	-1.00000e+01	4.23446e+05	2.04959e+05
5.20588e+00	-1.00000e+01	4.64664e+05	2.34020e+05
3.71849e+00	-1.00000e+01	5.11845e+05	2.67468e+05
2.65606e+00	-1.00000e+01	5.66709e+05	3.06847e+05
1.89719e+00	-1.00000e+01	6.28356e+05	3.53117e+05
1.35513e+00	-1.00000e+01	7.00808e+05	4.07507e+05
9.67953e-01	-1.00000e+01	7.83692e+05	4.76903e+05
6.91395e-01	-1.00000e+01	8.78870e+05	5.58500e+05
4.93854e-01	-1.00000e+01	9.87155e+05	6.53973e+05
3.52753e-01	-1.00000e+01	1.11606e+06	7.75751e+05
2.51966e-01	-1.00000e+01	1.26254e+06	9.24445e+05
1.79976e-01	-1.00000e+01	1.43005e+06	1.10735e+06
1.28554e-01	-1.00000e+01	1.62119e+06	1.33333e+06
1.00000e-01	-1.00000e+01	1.78389e+06	1.53973e+06
1.00000e+07	-5.00000e+00	-6.47546e+01	1.06595e+01
7.14286e+06	-5.00000e+00	-9.90471e+01	2.37474e+01
5.10204e+06	-5.00000e+00	-1.69939e+02	5.48776e+01
3.64432e+06	-5.00000e+00	-2.92278e+02	1.19377e+02
