,Z_Real [Ω],Z_Imag [Ω]
0,375.70230410697354,-184.95195557965604
1,384.61386328511946,-208.86499849691234
2,394.86221401041274,-235.79548592488132
3,406.66640885418406,-266.10169709342597
4,420.2852538024632,-300.177575230171
5,436.02480487371463,-338.4533316122013
6,454.24790175559497,-381.3965587415487
7,475.3846677001282,-429.5102505344062
8,499.9452897549244,-483.3299592750798
9,528.5347214721224,-543.4180742403265
10,561.8692079286118,-610.3540290713006
11,600.7951145061998,-684.720539273978
12,646.3082013623768,-767.0816161110843
13,699.5740966141693,-857.9540703340627
14,761.9467115268546,-957.767492656916
15,834.9837792654622,-1066.8139021113884
16,920.4524843714314,-1185.1803986370792
17,1020.3236330694274,-1312.6702692531624
18,1136.7432665371075,-1448.707477352938
19,1271.9766732941107,-1592.2332493275687
20,1428.309849553027,-1741.596216162914
21,1607.9093193521649,-1894.4596897750796
22,1812.6237884043317,-2047.7333698739892
23,2043.740767056563,-2197.565463003672
24,2301.710445622149,-2339.419288732217
25,2585.869934458971,-2468.259703378128
26,2894.216886192273,-2578.860550083232
27,3223.2848691748145,-2666.218436318922
28,3568.182386475861,-2726.0329553975043
29,3922.8244381210566,-2755.1780218681756
30,4280.344262254471,-2752.0759137107375
31,4633.637902377615,-2716.8962564505064
32,4975.948816821637,-2651.5343280330094
33,5301.392669495574,-2559.3739568035976
34,5605.340460046217,-2444.887134074735
35,5884.6060861229835,-2313.1564927593495
36,6137.457397583686,-2169.400616182006
37,6363.464199925309,-2018.5793481793855
38,6563.258559371633,-1865.1092762662045
39,6738.256127641588,-1712.6994034263223
40,6890.383311483622,-1564.2937207033344
41,7021.843349456211,-1422.0912765623705
42,7134.928104428241,-1287.6218516696379
43,7231.885636096169,-1161.844230298074
44,7314.832380365832,-1045.2534510914609
45,7385.701184407147,-937.9856745802443
46,7446.219566277394,-839.9083779715465
47,7497.905180324499,-750.699092788561
48,7542.074808840272,-669.9077099296011
49,7579.86016992541,-597.0055330602715
50,7612.226689434608,-531.4234298492886
