Frequency (Hz),Zre (ohms),Zim (ohms)
100000,272.7938324,-22.86355327
85769.59375,274.3317332,-23.98793025
73564.22656,275.3229709,-25.72772932
63095.73047,276.9036497,-27.82899195
54116.94922,278.0761506,-30.23740349
46415.89063,279.3680285,-33.72556946
39810.71875,280.8886824,-37.4320865
34145.48828,282.1308515,-41.62584888
29286.44922,283.7609376,-46.6280553
25118.86914,285.5211587,-52.37642005
21544.34961,287.2338063,-58.85392011
18478.5,289.9621212,-66.73048477
15848.92969,292.9102589,-74.94851249
13593.55957,296.0709874,-84.7558889
11659.13965,299.5552899,-95.27750442
10000,305.0202084,-106.827792
8576.958984,309.9518713,-121.6156549
7356.421875,317.5235912,-139.5270176
6309.573242,322.1974844,-156.8877932
5411.694824,329.999883,-176.4897367
4641.588867,339.0236331,-197.1866547
3981.072021,350.2527467,-225.7337409
3414.549072,360.6675482,-253.1467724
2928.64502,374.7642418,-284.8166585
2511.885986,391.8473873,-322.0169645
2154.435059,409.1052278,-361.6175494
1847.849976,431.0714294,-407.220186
1584.892944,453.8068359,-453.3284025
1359.355957,482.3756078,-509.238016
1165.91394,513.1978621,-567.5365692
1000,550.3583769,-633.2470481
857.6959229,596.8056407,-712.7462641
735.6422729,647.1541488,-794.7433221
630.9572754,705.7399221,-883.6807856
541.1696167,774.981963,-983.8502644
464.158905,846.5226078,-1080.356206
398.1072083,935.8442458,-1194.069257
341.454895,1047.462899,-1326.516749
292.864502,1157.712979,-1447.581614
251.1885986,1284.869844,-1574.99429
215.4434967,1447.556382,-1724.511554
184.7850037,1629.111791,-1880.505592
158.4893036,1834.927847,-2027.280702
135.9355927,2045.237279,-2163.419163
116.5914001,2304.358756,-2308.020265
100,2566.666138,-2433.796133
85.76959229,2855.461059,-2547.433532
73.56421661,3175.990782,-2646.969256
63.09572983,3488.196974,-2721.301872
54.11695099,3847.374942,-2758.360164
46.41588974,4214.635922,-2767.908187
39.81071854,4610.912469,-2741.695663
34.14548874,4952.444247,-2683.750744
29.28644943,5290.855784,-2598.823528
25.11886024,5594.742516,-2487.467015
21.54434967,5902.850387,-2349.12943
18.47850037,6182.656898,-2181.665996
15.84893036,6394.773699,-2037.576021
13.59356022,6592.09033,-1858.005193
11.65913963,6786.958967,-1702.92009
10,6914.387225,-1543.879938
8.576958656,7031.95633,-1394.371171
7.356421947,7142.168536,-1246.889913
6.309574127,7217.980616,-1123.198495
5.411695004,7291.380261,-1009.315565
4.641589165,7346.204826,-905.984326
3.981071949,7395.322079,-812.8561593
3.414549112,7437.484178,-736.4274836
2.928644896,7472.616407,-670.6525535
2.511885881,7490.265682,-608.5671244
2.154434919,7526.326458,-570.1964549
1.847849965,7549.602311,-529.9207953
1.584892988,7575.740491,-502.2562704
1.359356046,7599.661704,-478.506258
1.165914059,7623.760215,-470.6062663
1,7653.683646,-423.6988072
