,Z_Real [Ω],Z_Imag [Ω]
0,365.32115017811805,-41.99506308987637
1,367.6970649935339,-46.78687676278464
2,370.3410514744642,-52.134022626315314
3,373.2847397341827,-58.10132478273508
4,376.56373279556004,-64.76110106581834
5,380.2181311657816,-72.19396508764409
6,384.2931788108243,-80.48979760226064
7,388.83991109452984,-89.74862568757081
8,393.9159782603116,-100.08174048174908
9,399.58657985545983,-111.61289539811972
10,405.9254813847102,-124.4794940035205
11,413.01624999261475,-138.83400729088072
12,420.95361763604507,-154.84538766236142
13,429.8450489577304,-172.70058130757712
14,439.8126208525907,-192.6062858300587
15,450.9949573723552,-214.79035790836883
16,463.54990650310555,-239.50413793458375
17,477.65709588706085,-267.02384061074633
18,493.52126943709516,-297.6526399655299
19,511.3761449742127,-331.7226969497183
20,531.4888707275218,-369.59698589153817
21,554.1656725575228,-411.6716282453187
22,579.7581266702209,-458.3770965253243
23,608.6714541537666,-510.1801163023073
24,641.3743754488477,-567.5842920688937
25,678.4121413543421,-631.1308655967446
26,720.4218699971301,-701.3960730119804
27,768.1531444978802,-778.9876435582141
28,822.4928160514567,-864.5353167865971
29,884.4966370138318,-958.6758650409317
30,955.4254741630492,-1062.0248972876348
31,1036.789684304446,-1175.1369922664899
32,1130.3934403303863,-1298.4393548820983
33,1238.3773998560773,-1432.1380594299599
34,1363.246971938196,-1576.0863948439805
35,1507.8689141458212,-1729.6103719655505
36,1675.4112027708643,-1891.2925929128182
37,1869.1905875757989,-2058.7249913746314
38,2092.396906450794,-2228.2685147190446
39,2347.6682000521682,-2394.8790711008073
40,2636.517588142963,-2552.0860493807418
41,2958.673186068786,-2692.2284792201776
42,3311.457831233015,-2807.0273645004104
43,3689.401296157217,-2888.4999114410407
44,4084.2907017242437,-2930.0963142542296
45,4485.76994519669,-2927.8072951518716
46,4882.464679246566,-2880.931790808091
47,5263.36228717343,-2792.2538459108578
48,5619.119830873544,-2667.5682973910584
49,5942.971024175303,-2514.7077126506865
50,6231.070718136974,-2342.366908078586
51,6482.318994250928,-2159.0218112110083
52,6697.822726666641,-1972.148264265795
53,6880.219063723702,-1787.7932934494438
54,7033.019606430629,-1610.460064600281
55,7160.0740294801235,-1443.2135460615993
56,7265.193163314511,-1287.8991319041843
57,7351.912933194287,-1145.4054898575146
58,7423.3746940535475,-1015.9149627591112
59,7482.2847943635015,-899.1194416067626
60,7530.92332797354,-794.3942281721128
