Frequency (Hz)	Zre (ohms)	Zim (ohms)	
100000	322.728575099915	-30.6953230787939	
85769.59375	325.407957635139	-31.174570668941	
73564.2265625	327.661645950686	-32.6669148376164	
63095.73046875	329.874585078455	-34.040317570987	
54116.94921875	333.000697904568	-36.4019713507476	
46415.890625	334.362024409125	-39.3290211246678	
39810.71875	337.510453017535	-41.5866774044054	
34145.48828125	339.963201637823	-45.9367839446086	
29286.44921875	343.408907576716	-49.5051298674412	
25118.869140625	347.218128524366	-53.8685970753077	
21544.349609375	350.195657776319	-58.5423823416336	
18478.5	355.062261775514	-63.4964270294822	
15848.9296875	358.69458026823	-68.9755217832848	
13593.5595703125	364.259475362226	-74.4850341250484	
11659.1396484375	369.503448402173	-80.9559047253947	
10000	376.097022061421	-87.0915303575448	
8576.958984375	382.281670728589	-94.9608647527881	
7356.421875	389.295466839047	-103.979727763053	
6309.5732421875	396.10159293675	-114.052805768323	
5411.69482421875	403.770239501734	-123.741463185791	
4641.5888671875	411.214749671757	-134.197353518918	
3981.07202148438	420.880241980259	-148.01226608261	
3414.54907226563	429.221391257269	-161.431261893362	
2928.64501953125	438.765715310535	-178.047520496895	
2511.88598632813	450.085686659744	-196.442616681113	
2154.43505859375	461.140310089129	-217.629409512662	
1847.84997558594	473.843054777332	-239.921573101246	
1584.89294433594	485.431465262644	-263.640594030398	
1359.35595703125	500.346292039631	-292.787828964786	
1165.91394042969	516.449227613855	-324.623318930424	
1000	534.775429119347	-361.000977007611	
857.695922851563	557.14482641056	-405.361423578448	
735.642272949219	580.951155855764	-452.009890624071	
630.957275390625	608.35838776185	-504.508192539579	
541.169616699219	639.843187932593	-563.386921585284	
464.158905029297	672.742641458489	-623.132292145211	
398.107208251953	713.322014391409	-694.661703283716	
341.454895019531	764.07977521836	-781.054884834618	
292.864501953125	814.130086072287	-862.812547523544	
251.188598632813	871.659192046547	-953.452353964015	
215.443496704102	947.192457804417	-1064.68630642738	
184.785003662109	1036.13786277483	-1188.71861366588	
158.489303588867	1130.12186726291	-1313.8006885845	
135.935592651367	1236.93743389102	-1444.78464524518	
116.591400146484	1368.94181266271	-1595.83929883147	
100	1511.02849749234	-1742.92529201322	
85.7695922851563	1676.22161755693	-1899.28503255394	
73.5642166137695	1877.88896067146	-2068.54518531426	
63.0957298278809	2082.35378998854	-2224.37727072827	
54.1169509887695	2348.06642681387	-2390.17578875844	
46.4158897399902	2633.01330401684	-2543.88495035493	
39.810718536377	2980.20785480927	-2681.52588960781	
34.1454887390137	3325.89151201667	-2799.01194929949	
29.286449432373	3690.31490329336	-2875.33459962256	
25.118860244751	4060.81196700198	-2915.33162128795	
21.5443496704102	4482.31414402065	-2924.19174976714	
18.4785003662109	4898.40009145018	-2875.97700115171	
15.8489303588867	5237.29359228084	-2807.21562038138	
13.593560218811	5616.84960208778	-2678.32326930276	
11.6591396331787	5945.50131843768	-2518.80222865336	
10	6225.11354646375	-2358.322459272	
8.57695865631104	6479.16119093825	-2175.07800789708	
7.35642194747925	6712.29227245022	-1973.81006999976	
6.30957412719727	6888.74226899497	-1793.3232787369	
5.41169500350952	7041.18980798394	-1611.00195683313	
4.64158916473389	7169.03967549989	-1433.40377213852	
3.98107194900513	7270.05522887165	-1275.63880068563	
3.41454911231995	7355.15303940158	-1128.29775564174	
2.92864489555359	7417.64589328097	-1000.45339196328	
2.51188588142395	7475.41294456395	-882.712679412762	
2.1544349193573	7516.28286700389	-780.401322877324	
1.84784996509552	7551.96774591396	-693.771284296166	
1.58489298820496	7582.2122515474	-611.683899324693	
1.35935604572296	7607.26686293754	-542.75176165246	
1.1659140586853	7626.5650247119	-482.851921610395	
1	7640.59252105249	-435.941081503987	
