,Z_Real [Ω],Z_Imag [Ω]
0,304.1380512178981,-110.57380034230422
1,309.5220037119514,-124.58195440906525
2,315.6509102382642,-140.3429878981902
3,322.635711724965,-158.06868968678845
4,330.6055525327895,-177.99411881040595
5,339.7109886585714,-200.37928228103084
6,350.1278873233232,-225.51092757156107
7,362.0619566416314,-253.70393538306465
8,375.75407682821884,-285.3023342901744
9,391.4866588567214,-320.68000035653074
10,409.59066793071673,-360.23972663477855
11,430.4544017796106,-404.4125834813214
12,454.532593005063,-453.6538613118605
13,482.3571093955316,-508.4379857018311
14,514.5485465410493,-569.2504680152445
15,551.8282785613445,-636.5759518638965
16,595.0311737557582,-710.8828938099188
17,645.1166204941021,-792.601286780885
18,703.1786070280617,-882.0961747565577
19,770.4515036492187,-979.6333615301585
20,848.3115491437402,-1085.340316635631
21,938.2683848924316,-1199.1579050759233
22,1041.9484788310494,-1320.790415220868
23,1161.0641240641644,-1449.6504096725116
24,1297.3704266725322,-1584.8063436315335
25,1452.6043050947967,-1724.9302624255442
26,1628.4157198357943,-1868.2580029034912
27,1826.2801580228463,-2012.551442152691
28,2047.401656145964,-2155.071999215045
29,2292.5977557418037,-2292.5604355816295
30,2562.156191339696,-2421.2268971003996
31,2855.6483135000076,-2536.7664298703676
32,3171.68309364148,-2634.4330964358273
33,3507.622207395585,-2709.232451030647
34,3859.313619411329,-2756.2897512487334
35,4220.954652381422,-2771.416295205166
36,4585.233253251114,-2751.8124050002953
37,4943.841787173813,-2696.7352095174874
38,5288.3328267368615,-2607.898453900545
39,5611.127913514091,-2489.418826740656
40,5906.387571054049,-2347.2858402521833
41,6170.523819974526,-2188.5046954524323
42,6402.2436068293055,-2020.178447351762
43,6602.221641743623,-1848.7530820589284
44,6772.564494077882,-1679.549758208269
45,6916.237665184768,-1516.5895623817978
46,7036.576475685572,-1362.6366506445154
47,7136.924829280044,-1219.3748806748492
48,7220.41056175915,-1087.6303842205202
49,7289.8271389970905,-967.59360327739
50,7347.590244897374,-859.014359517588
51,7395.743873584742,-761.3548250037031
52,7435.990536941647,-673.9074189547131
53,7469.733782496771,-595.8782620203174
54,7498.122928423645,-526.4450583610295
55,7522.095084507566,-464.7962570662281
