Frequency (Hz)	Zre (ohms)	Zim (ohms)	
100000	272.793832445666	-22.8635532713557	
85769.59375	274.331733184899	-23.9879302464097	
73564.2265625	275.322970920859	-25.7277293160692	
63095.73046875	276.90364969467	-27.8289919483933	
54116.94921875	278.076150646692	-30.2374034945034	
46415.890625	279.368028473881	-33.7255694613019	
39810.71875	280.888682436059	-37.4320865005677	
34145.48828125	282.130851452342	-41.6258488793313	
29286.44921875	283.760937552828	-46.6280553014382	
25118.869140625	285.521158720949	-52.3764200533512	
21544.349609375	287.233806341015	-58.8539201058758	
18478.5	289.962121172218	-66.7304847676247	
15848.9296875	292.910258917796	-74.9485124867563	
13593.5595703125	296.070987410298	-84.7558889042318	
11659.1396484375	299.555289857215	-95.2775044161952	
10000	305.02020839146	-106.827792046164	
8576.958984375	309.951871301471	-121.615654889994	
7356.421875	317.52359116129	-139.527017593058	
6309.5732421875	322.197484407826	-156.887793192575	
5411.69482421875	329.999882987751	-176.489736651596	
4641.5888671875	339.023633100182	-197.186654737446	
3981.07202148438	350.252746743022	-225.733740947805	
3414.54907226563	360.667548245068	-253.14677243966	
2928.64501953125	374.76424181921	-284.816658519812	
2511.88598632813	391.847387340247	-322.0169645436	
2154.43505859375	409.105227760988	-361.617549429209	
1847.84997558594	431.071429403169	-407.220185961344	
1584.89294433594	453.806835873162	-453.328402532315	
1359.35595703125	482.375607799437	-509.23801597653	
1165.91394042969	513.197862050236	-567.536569188571	
1000	550.35837693913	-633.247048132084	
857.695922851563	596.805640733429	-712.746264082282	
735.642272949219	647.154148769411	-794.743322056112	
630.957275390625	705.739922083091	-883.68078559116	
541.169616699219	774.981963018685	-983.850264426394	
464.158905029297	846.522607791762	-1080.35620562615	
398.107208251953	935.84424582307	-1194.06925708351	
341.454895019531	1047.462898858	-1326.51674937109	
292.864501953125	1157.71297903656	-1447.58161374949	
251.188598632813	1284.86984385371	-1574.9942898071	
215.443496704102	1447.55638240705	-1724.51155434283	
184.785003662109	1629.11179136037	-1880.50559200414	
158.489303588867	1834.92784688869	-2027.2807019073	
135.935592651367	2045.23727929009	-2163.419163398	
116.591400146484	2304.35875648242	-2308.02026494794	
100	2566.66613756492	-2433.79613297296	
85.7695922851563	2855.4610585019	-2547.43353178914	
73.5642166137695	3175.9907816281	-2646.96925573241	
63.0957298278809	3488.19697444406	-2721.30187185704	
54.1169509887695	3847.37494226805	-2758.36016432531	
46.4158897399902	4214.63592172422	-2767.90818740849	
39.810718536377	4610.91246949615	-2741.69566290826	
34.1454887390137	4952.44424712442	-2683.75074398081	
29.286449432373	5290.8557837084	-2598.82352794629	
25.118860244751	5594.74251589348	-2487.46701455217	
21.5443496704102	5902.85038732386	-2349.12943037664	
18.4785003662109	6182.65689772307	-2181.66599642503	
15.8489303588867	6394.77369868412	-2037.57602112118	
13.593560218811	6592.0903301082	-1858.00519288373	
11.6591396331787	6786.95896661746	-1702.92008953988	
10	6914.38722539924	-1543.87993805616	
8.57695865631104	7031.95632957647	-1394.37117121719	
7.35642194747925	7142.16853605959	-1246.88991264962	
6.30957412719727	7217.98061593321	-1123.19849483256	
5.41169500350952	7291.38026052781	-1009.31556477866	
4.64158916473389	7346.20482625424	-905.984325964644	
3.98107194900513	7395.32207874456	-812.856159268326	
3.41454911231995	7437.48417780051	-736.427483630244	
2.92864489555359	7472.6164069397	-670.652553470774	
2.51188588142395	7490.26568201877	-608.567124374032	
2.1544349193573	7526.326457826	-570.196454913036	
1.84784996509552	7549.60231132096	-529.9207952754	
1.58489298820496	7575.74049135985	-502.256270413543	
1.35935604572296	7599.66170444079	-478.506257969467	
1.1659140586853	7623.76021542558	-470.606266344842	
1	7653.68364639787	-423.698807201046	
