Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
0.0156422592699528	6.14000015275451E-08	60	0	0	
0.0162556692957878	6.14000015275451E-08	120	0	0	
0.0156422592699528	6.14000015275451E-08	180	0	0	
0.0156422592699528	6.14000015275451E-08	240	0	0	
0.0156422592699528	6.14000015275451E-08	300	0	0	
0.0153355598449707	6.14000015275451E-08	360	0	0	
0.0153355598449707	6.14000015275451E-08	420	0	0	
0.0153355598449707	6.14000015275451E-08	480	0	0	
0.0153355598449707	6.14000015275451E-08	540	0	0	
0.0153355598449707	6.14000015275451E-08	600	0	0	
0.0153355598449707	6.14000015275451E-08	660	0	0	
0.0153355598449707	6.14000015275451E-08	720	0	0	
0.0153355598449707	6.14000015275451E-08	780	0	0	
0.0150288501754403	6.14000015275451E-08	840	0	0	
0.0150288501754403	6.14000015275451E-08	900	0	0	
0.0150288501754403	6.14000015275451E-08	960	0	0	
0.0153355598449707	6.14000015275451E-08	1020	0	0	
0.0150288501754403	6.14000015275451E-08	1080	0	0	
0.0147221395745873	6.14000015275451E-08	1140	0	0	
0.0147221395745873	6.14000015275451E-08	1200	0	0	
0.0147221395745873	6.14000015275451E-08	1260	0	0	
0.0147221395745873	6.14000015275451E-08	1320	0	0	
0.0147221395745873	6.14000015275451E-08	1380	0	0	
0.0150288501754403	6.14000015275451E-08	1440	0	0	
0.0147221395745873	6.14000015275451E-08	1500	0	0	
0.0156422592699528	6.14000015275451E-08	1560	0	0	
0.0150288501754403	6.14000015275451E-08	1620	0	0	
0.0150288501754403	6.14000015275451E-08	1680	0	0	
0.0150288501754403	6.14000015275451E-08	1740	0	0	
0.0147221395745873	6.14000015275451E-08	1800	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0001	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0002	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0003	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0004	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0005	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0006	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0007	0	0	
-0.0101210698485374	-2.52971290137793E-06	1800.0008	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0009	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.001	0	0	
-0.00981436483561993	-2.52971290137793E-06	1800.0011	0	0	
