Wavenumbers (cm^-1),Intensity (a.u.) data,Intensity (a.u.) fit
727.0787,0.042273987324359136,0.044930604418759686
727.2787,0.04552483927005313,0.05166243824759291
727.4787,0.05342898830269375,0.06116049585758333
727.6787,0.06676711564113694,0.07402488749325295
727.8787,0.08608549949196127,0.0907296208506381
728.0787,0.11044851427226303,0.11149203548647288
728.2787,0.13834644566567975,0.1361396503905964
728.4787,0.16827057258895148,0.16400515162767004
728.6787,0.19871018749261285,0.19388397726163553
728.8787,0.22815458282719833,0.22408337937199757
729.0787,0.255096030742551,0.2525758307383684
729.2787,0.27802283045610254,0.27724561888476507
729.4787,0.29542626088459323,0.29619141688651907
729.6787,0.30580256711027765,0.3080275548862163
729.8787,0.30854091077489065,0.31211996004244424
730.0787,0.304813306939819,0.3087029975751545
730.2787,0.2960003496180522,0.29884900749257853
730.4787,0.2834866057549912,0.2842962236702163
730.6787,0.2686526693636256,0.26717306853345246
730.8787,0.2528831073893563,0.2496781870933616
731.0787,0.23755851384517282,0.23378051056158133
731.2787,0.22406246244337327,0.22099215427889393
731.4787,0.21377654043005007,0.21224414436704564
731.6787,0.20799195083893435,0.20786868565429414
731.8787,0.2067821929196385,0.20766956049927837
732.0787,0.2093536734229693,0.21104925548081846
732.2787,0.2148969073700876,0.21715880778305613
732.4787,0.22260042331594843,0.2250421330273792
732.6787,0.23165374304860983,0.23375690059149423
732.8787,0.24124638835612966,0.24246485867848555
733.0787,0.250567881026566,0.2504929522257189
733.2787,0.25880774284797675,0.25737127529673953
733.4787,0.2651545023753169,0.26285493111867936
733.6787,0.2691075701247401,0.2669352048688292
733.8787,0.27131354084621473,0.26984236881075147
734.0787,0.2726911551598956,0.27203912377313166
734.2787,0.27415617398662906,0.27420104795864925
734.4787,0.2766233650141586,0.27717910239813953
734.6787,0.28101047562953596,0.2819396283818478
734.8787,0.28823425998671054,0.28947954850839497
735.0787,0.29921047900652853,0.3007185652937254
735.2787,0.31485489360983615,0.3163755878755084
735.4787,0.33605346772439365,0.33684251194314285
735.6787,0.3626323855571988,0.3620735199528962
735.8787,0.39310577038635774,0.391510729418763
736.0787,0.4259063003755415,0.42406591320533704
736.2787,0.4594686401546265,0.45817236365355524
736.4787,0.49222546788728394,0.49191099511048103
736.6787,0.5226124414364931,0.5232019027857098
736.8787,0.5490612457328223,0.5500393070582004
737.0787,0.570005552173045,0.5707371522670538
737.2787,0.583881018620141,0.5841474182537935
737.4787,0.589411340536922,0.589815217706196
737.6787,0.5873702465105238,0.5880441166769225
737.8787,0.5793995508599908,0.5798601324937942
738.0787,0.5671440476036762,0.5668803754557932
738.2787,0.5522515104592411,0.5511084954883357
738.4787,0.5363677266781418,0.5346905118111487
738.6787,0.521137490278731,0.5196690324597175
738.8787,0.5082075817455675,0.5077708658623915
